User: USER;Path: C:\Program Files\BMG\OPTIMA\User\Data\;Test run no.: 6582
Test name: ECOLI YFP;Date: 2016-12-06;Time: 5:20:24 PM
ID1: 20161201 Praktikum - pRAJ11  1;ID2: Fluorescence;
Fluorescence (FI)

Well Row;;A;A;A;A;A;A;A;A;A;A;A;A;B;B;B;B;B;B;B;B;B;B;B;B;C;C;C;C;C;C;C;C;C;C;C;C;D;D;D;D;D;D;D;D;D;D;D;D;E;E;E;E;E;E;E;E;E;E;E;E;F;F;F;F;F;F;F;F;F;F;F;F;G;G;G;G;G;G;G;G;G;G;G;G;H;H;H;H;H;H;H;H;H;H;H;H
Well Col;;1;2;3;4;5;6;7;8;9;10;11;12;1;2;3;4;5;6;7;8;9;10;11;12;1;2;3;4;5;6;7;8;9;10;11;12;1;2;3;4;5;6;7;8;9;10;11;12;1;2;3;4;5;6;7;8;9;10;11;12;1;2;3;4;5;6;7;8;9;10;11;12;1;2;3;4;5;6;7;8;9;10;11;12;1;2;3;4;5;6;7;8;9;10;11;12
Content;Time [s];Sample X1;Sample X2;Sample X3;Sample X4;Sample X5;Sample X6;Sample X7;Sample X8;Sample X9;Sample X10;Sample X11;Sample X12;Sample X1;Sample X2;Sample X3;Sample X4;Sample X5;Sample X6;Sample X7;Sample X8;Sample X9;Sample X10;Sample X11;Sample X12;Sample X1;Sample X2;Sample X3;Sample X4;Sample X5;Sample X6;Sample X7;Sample X8;Sample X9;Sample X10;Sample X11;Sample X12;Sample X1;Sample X2;Sample X3;Sample X4;Sample X5;Sample X6;Sample X7;Sample X8;Sample X9;Sample X10;Sample X11;Sample X12;Sample X1;Sample X2;Sample X3;Sample X4;Sample X5;Sample X6;Sample X7;Sample X8;Sample X9;Sample X10;Sample X11;Sample X12;Sample X1;Sample X2;Sample X3;Sample X4;Sample X5;Sample X6;Sample X7;Sample X8;Sample X9;Sample X10;Sample X11;Sample X12;Sample X1;Sample X2;Sample X3;Sample X4;Sample X5;Sample X6;Sample X7;Sample X8;Sample X9;Sample X10;Sample X11;Sample X12;Sample X1;Sample X2;Sample X3;Sample X4;Sample X5;Sample X6;Sample X7;Sample X8;Sample X9;Sample X10;Sample X11;Sample X12
Raw Data (485/Em520);0;982;964;966;953;958;955;451;950;957;929;921;898;961;947;953;958;942;946;958;913;948;895;911;924;973;960;979;967;969;962;962;974;944;960;924;930;982;965;968;968;957;944;977;972;941;941;953;904;997;962;975;963;942;959;961;954;960;975;940;935;983;957;812;951;971;945;977;999;952;952;937;944;463;939;964;961;984;999;1003;975;948;970;912;933;945;922;953;937;945;934;976;923;913;914;971;880
Raw Data (485/Em520);609;972;953;955;950;939;946;448;947;942;924;906;886;940;928;938;942;917;926;938;894;929;882;883;904;960;940;955;936;949;943;940;954;922;941;914;914;966;945;951;947;939;932;959;954;921;926;934;896;972;935;944;938;922;945;933;935;938;959;926;918;961;934;801;926;953;919;948;965;928;925;913;924;449;921;940;936;958;965;981;947;923;952;892;916;928;910;937;921;940;922;964;915;896;896;956;865
Raw Data (485/Em520);1219;960;933;942;935;930;937;444;936;938;912;897;879;929;918;924;928;913;917;921;885;917;868;876;892;947;932;946;925;935;941;935;943;915;922;899;899;946;933;936;935;921;915;941;937;910;912;917;886;952;924;931;929;903;924;918;914;919;944;908;905;947;919;791;919;933;909;939;963;920;910;902;927;443;906;925;917;943;956;964;940;915;937;876;902;918;896;927;902;925;910;954;906;889;893;941;863
Raw Data (485/Em520);1830;951;922;938;924;924;928;441;931;925;908;896;875;928;906;926;927;907;914;918;878;912;859;876;895;930;914;935;919;934;930;926;933;908;913;896;900;936;920;923;917;918;912;940;935;907;915;921;880;942;912;930;917;900;918;915;917;924;947;903;901;940;911;776;904;928;897;931;954;909;908;896;912;441;894;923;916;938;954;954;934;908;926;880;894;917;892;923;912;919;903;952;905;889;899;935;853
Raw Data (485/Em520);2439;952;932;931;912;921;928;436;918;925;902;884;870;920;906;915;916;901;916;921;872;903;866;868;889;936;915;922;912;922;922;920;928;901;920;880;884;938;918;917;917;911;899;925;928;899;905;912;873;943;912;922;913;903;912;912;910;911;939;901;889;937;904;776;901;921;897;926;941;895;901;889;909;439;894;915;906;930;943;951;929;900;922;870;892;912;887;910;903;919;905;945;898;889;882;932;854
Raw Data (485/Em520);3049;943;910;921;922;920;920;446;922;920;903;892;869;920;908;914;908;899;912;915;877;909;860;869;882;930;906;927;912;926;922;911;925;908;914;892;892;935;914;922;915;910;899;927;922;899;901;912;873;935;903;916;908;891;908;905;907;913;930;906;890;934;904;773;902;920;892;925;946;905;899;888;908;439;891;912;906;928;949;954;927;898;922;869;886;916;890;927;906;920;912;950;905;887;889;932;849
Raw Data (485/Em520);3658;938;914;924;916;915;921;441;912;917;893;887;866;913;901;907;910;895;912;912;868;903;857;869;885;928;903;921;909;914;916;909;925;898;905;890;888;929;904;918;915;907;895;929;917;899;895;906;870;932;903;912;903;887;907;901;907;909;922;898;893;924;898;773;899;913;888;921;945;901;892;890;901;439;884;910;909;924;944;948;922;896;915;856;884;918;891;923;907;920;913;950;898;884;886;926;845
Raw Data (485/Em520);4268;935;908;917;912;913;909;437;918;917;891;878;859;912;901;906;908;893;900;906;869;899;856;858;878;926;904;923;903;915;913;903;924;902;909;880;879;921;912;911;910;902;889;925;916;891;898;904;872;929;897;907;905;883;904;892;901;903;926;891;888;926;889;767;892;917;887;914;936;895;893;883;897;437;882;907;905;918;938;945;913;891;915;862;877;918;897;930;914;924;912;948;903;886;882;926;848
Raw Data (485/Em520);4877;933;906;913;908;910;911;438;906;912;890;886;863;908;896;907;906;897;903;901;867;896;853;863;881;921;898;914;896;919;909;898;918;888;904;878;882;919;905;906;902;901;884;914;912;889;897;904;870;926;889;914;902;884;905;899;903;901;926;901;888;923;893;758;895;910;881;915;940;895;889;874;890;434;875;903;899;917;931;935;914;889;914;862;878;917;900;917;904;928;914;954;907;885;883;925;849
